OBJECTID,Shape,NIB,IdBidang,ls_asal,status_per,kelompok_perubahan,PREDICTED,KECAMATAN,KELURAHAN,TIPEHAK,NIB_1,lb_dpn,letak,s_letak,zonasi,s_zonasi,kls_jln,s_kls_jln,IdBidang_1,ls_tnh,elvasi,s_elvasi,lb_jln,jk_atrs,jk_kolp,jk_kols,CBD,jk_atrp,Shape_Le_1,Shape_Le_2,PREDICTED_1,Shape_Le_3,Shape_Length,Shape_Area,bentuk,s_bentuk
1,"(96525.50858729615, 756161.1114965822)",542,1,99.53390736192846,tetap,,1319463.95721,Pekalipan,Pulasaren,Hak Milik,00542,5.3024099216,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,6844,99.53390736192846,Sama,2.0,3.41,1674.89135733,1704.83928967,1946.12380571,660.920457107,1681.64189474,33.4073241393,33.4073241387,1319463.95721,43.3565897679,43.35658976788804,99.53390736192846,,
2,"(96447.28515512559, 756300.1108317983)",53,2,138.79547472896888,tetap,,2404560.93531,Pekalipan,Pulasaren,Hak Milik,00053,5.95719696662,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,6870,138.79547472896888,Sama,2.0,1.64,1346.83166098,1693.74635463,2124.46598473,266.241759276,2268.21016937,58.6799284067,58.6799284066,2404560.93531,58.1155611127,58.11556111269383,138.79547472896888,,
3,"(96835.55225157666, 756221.8766057388)",305,3,48.29684120174586,tetap,,1336013.46254,Pekalipan,Pulasaren,Hak Milik,00305,5.38155799383,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,6961,48.29684120174586,Sama,2.0,1.835479,917.744996066,2189.17591247,2626.62591473,483.290637835,2237.24765237,26.5155548309,26.5155548309,1336013.46254,28.2232274815,28.22322748149381,48.29684120174586,,
4,"(96321.8863491293, 756016.9965831717)",825,4,85.13366700287837,tetap,,1520817.20577,Pekalipan,Pulasaren,Hak Milik,00825,9.75652171885,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7445,85.13366700287837,Sama,2.0,1.835479,1740.8412688,1656.44236018,2087.16199029,545.762709056,1826.36971564,41.0010492962,41.0010492936,1520817.20577,42.7683306394,42.76833063936271,85.13366700287837,,
5,"(96555.12779822477, 756141.8576027824)",130,5,56.7898766615224,tetap,,1628379.35523,Pekalipan,Pulasaren,Hak Milik,00130,13.750437519,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7443,56.7898766615224,Sama,2.0,1.835479,1186.25224327,1860.8673118,2291.5869419,122.870780385,2044.99615,41.9127872799,41.9127872814,1628379.35523,31.1570169646,31.15701696464751,56.7898766615224,,
6,"(96465.11320205951, 756141.2683483303)",228,6,119.21138453837982,tetap,,3913027.47238,Pekalipan,Pulasaren,Hak Milik,00228,8.63835020424,Hook,4.0,Perumahan Menengah,3.0,Lokal Setapak,1.0,7271,119.21138453837982,Sama,2.0,1.835479,1283.25472021,1763.35059874,2194.07022884,188.250315001,2097.44900893,46.8279486106,46.8279486137,3913027.47238,43.828341225,43.82834122501956,119.21138453837982,,
7,"(96450.31502921309, 755915.5700325607)",502,7,109.58906540601681,tetap,,1388073.07899,Pekalipan,Pulasaren,Hak Wakaf,00502,4.3416217487,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7265,109.58906540601681,Sama,2.0,1.835479,1553.29149517,1783.36334413,2024.64786017,635.855436155,1755.72824252,49.8255684346,49.8255684332,1388073.07899,44.550064438,44.55006443800297,109.58906540601681,,
8,"(96779.23805567558, 756156.4106208131)",208,8,114.58131058412498,tetap,,4019377.38608,Pekalipan,Pulasaren,Hak Milik,00208,8.04878550094,Tusuk Sate,2.0,Perumahan Menengah,3.0,Lokal Primer,3.0,6966,114.58131058412498,Sama,2.0,6.58,924.658611781,2129.93485842,2508.21354631,355.930671097,2128.07425451,43.4133487786,43.4133487781,4019377.38608,44.2644850503,44.26448505032732,114.58131058412498,,
9,"(96335.90895737403, 756065.3327165408)",1012,9,83.77636570185079,tetap,,1556680.02262,Pekalipan,Pulasaren,Hak Milik,01012,7.65896919023,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,6667,83.77636570185079,Sama,2.0,1.52,1775.95587433,1647.42565174,2078.14528184,536.746000613,1884.86632523,38.3268343708,38.3268343656,1556680.02262,38.2886422371,38.28864223710174,83.77636570185079,,
10,"(96484.73975256213, 755940.4210851754)",896,10,67.57947062312411,tetap,,1327912.28926,Pekalipan,Pulasaren,Hak Milik,00896,6.30282604644,Hook,4.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7425,67.57947062312411,Sama,2.0,1.835479,1486.03111607,1823.73822631,2065.02274235,568.597074739,1796.10461664,34.3253666176,34.3253666214,1327912.28926,34.8139552468,34.81395524680521,67.57947062312411,,
